figure,algorithm,zenith_angle_deg,line_style,number_of_visibilities,runtime_minutes,digitisation_method,value_status
7a,WSClean,10,solid,21463835,2.1109,manual colour/pixel extraction,approximate
7a,WSClean,10,solid,39810717,2.1632,manual colour/pixel extraction,approximate
7a,WSClean,10,solid,85449065,2.1899,manual colour/pixel extraction,approximate
7a,WSClean,10,solid,185478119,2.5995,manual colour/pixel extraction,approximate
7a,WSClean,10,solid,398107171,4.2952,manual colour/pixel extraction,approximate
7a,WSClean,10,solid,854490654,7.2728,manual colour/pixel extraction,approximate
7a,WSClean,10,solid,1280315706,10.248,manual colour/pixel extraction,approximate
7a,WSClean,0,dotted,21463835,0.3201,manual colour/pixel extraction,approximate
7a,WSClean,0,dotted,39810717,0.414,manual colour/pixel extraction,approximate
7a,WSClean,0,dotted,85449065,0.5623,manual colour/pixel extraction,approximate
7a,WSClean,0,dotted,185478119,0.9406,manual colour/pixel extraction,approximate
7a,WSClean,0,dotted,398107171,2.0347,manual colour/pixel extraction,approximate
7a,WSClean,0,dotted,854490654,3.6184,manual colour/pixel extraction,approximate
7a,WSClean,0,dotted,1280315706,5.0986,manual colour/pixel extraction,approximate
7a,CASA,10,solid,21463835,5.3546,manual colour/pixel extraction,approximate
7a,CASA,10,solid,39810717,6.6753,manual colour/pixel extraction,approximate
7a,CASA,10,solid,85449065,10.0,manual colour/pixel extraction,approximate
7a,CASA,10,solid,185478119,16.5229,manual colour/pixel extraction,approximate
7a,CASA,10,solid,398107171,29.3823,manual colour/pixel extraction,approximate
7a,CASA,10,solid,854490654,57.6286,manual colour/pixel extraction,approximate
7a,CASA,10,solid,1280315706,82.2041,manual colour/pixel extraction,approximate
7a,CASA,0,dotted,21463835,1.0123,manual colour/pixel extraction,approximate
7a,CASA,0,dotted,39810717,1.0895,manual colour/pixel extraction,approximate
7a,CASA,0,dotted,85449065,1.4618,manual colour/pixel extraction,approximate
7a,CASA,0,dotted,185478119,2.2169,manual colour/pixel extraction,approximate
7a,CASA,0,dotted,398107171,3.8469,manual colour/pixel extraction,approximate
7a,CASA,0,dotted,854490654,9.5219,manual colour/pixel extraction,approximate
7a,CASA,0,dotted,1280315706,13.4171,manual colour/pixel extraction,approximate
