algorithm,fov_deg,zenith_angle_deg,runtime_min,approximate
WSClean,36,0,1.4,True
WSClean,36,2,1.8,True
WSClean,36,5,2.7,True
WSClean,36,10,4.0,True
WSClean,36,15,5.2,True
WSClean,36,25,7.8,True
WSClean,36,45,11.5,True
WSClean,36,80,17.0,True
WSClean,24,0,1.6,True
WSClean,24,2,1.6,True
WSClean,24,5,1.55,True
WSClean,24,10,1.6,True
WSClean,24,15,1.7,True
WSClean,24,25,2.0,True
WSClean,24,45,2.4,True
WSClean,24,80,4.2,True
R+WSClean,36,0,3.8,True
R+WSClean,36,2,4.3,True
R+WSClean,36,5,4.6,True
R+WSClean,36,10,4.5,True
R+WSClean,36,15,4.5,True
R+WSClean,36,25,4.0,True
R+WSClean,36,45,4.4,True
R+WSClean,36,80,4.8,True
R+WSClean,24,0,4.1,True
R+WSClean,24,2,4.2,True
R+WSClean,24,5,4.5,True
R+WSClean,24,10,4.4,True
R+WSClean,24,15,4.2,True
R+WSClean,24,25,4.0,True
R+WSClean,24,45,4.0,True
R+WSClean,24,80,4.5,True
CASA,36,0,3.5,True
CASA,36,2,7.0,True
CASA,36,5,13.0,True
CASA,36,10,29.0,True
CASA,24,0,3.6,True
CASA,24,5,6.0,True
CASA,24,10,10.0,True
CASA,24,15,15.0,True
CASA,24,25,30.0,True
CASA,24,45,65.0,True
CASA,24,80,100.0,True
