algorithm,za_deg,resolution_px,runtime_min,approximate
WSClean,10,1000,1.7,True
WSClean,10,1400,1.4,True
WSClean,10,1700,1.5,True
WSClean,10,1900,1.7,True
WSClean,10,2100,2.0,True
WSClean,10,2500,2.5,True
WSClean,10,3000,4.2,True
WSClean,10,3600,5.3,True
WSClean,10,4100,7.0,True
WSClean,10,5200,10.0,True
WSClean,10,6100,18.0,True
WSClean,10,7200,26.0,True
WSClean,10,8200,34.0,True
WSClean,10,9200,40.0,True
WSClean,10,10000,43.0,True
WSClean,10,11000,56.0,True
WSClean,10,12800,112.0,True
WSClean,0,1000,1.3,True
WSClean,0,1400,1.25,True
WSClean,0,1800,1.28,True
WSClean,0,2200,1.27,True
WSClean,0,3000,1.35,True
WSClean,0,3600,1.4,True
WSClean,0,4100,1.45,True
WSClean,0,5200,1.9,True
WSClean,0,6100,2.2,True
WSClean,0,7200,2.8,True
WSClean,0,8200,4.3,True
WSClean,0,9200,4.2,True
WSClean,0,10000,3.4,True
WSClean,0,11000,4.7,True
WSClean,0,12800,5.8,True
R+WSClean,10,1000,2.2,True
R+WSClean,10,1400,2.35,True
R+WSClean,10,1700,2.35,True
R+WSClean,10,1900,2.4,True
R+WSClean,10,2100,2.4,True
R+WSClean,10,2500,2.4,True
R+WSClean,10,3100,2.5,True
R+WSClean,10,3600,2.6,True
R+WSClean,10,4100,2.8,True
R+WSClean,10,5200,2.8,True
R+WSClean,10,6100,3.0,True
R+WSClean,10,7200,3.4,True
R+WSClean,10,8200,4.7,True
R+WSClean,10,10000,4.9,True
R+WSClean,10,12800,9.2,True
CASA,10,1000,18.0,True
CASA,10,1400,21.0,True
CASA,10,1700,27.0,True
CASA,10,1900,26.5,True
CASA,10,2100,26.5,True
CASA,10,2500,26.3,True
CASA,10,3200,28.0,True
CASA,10,3600,27.0,True
CASA,0,1000,4.0,True
CASA,0,1400,3.5,True
CASA,0,1700,3.9,True
CASA,0,1900,5.5,True
CASA,0,2100,3.8,True
CASA,0,2500,3.9,True
CASA,0,3000,4.0,True
CASA,0,3600,4.1,True
CASA,0,4100,4.3,True
CASA,0,5200,4.8,True
CASA,0,6100,5.0,True
CASA,0,7200,5.7,True
CASA,0,8200,6.1,True
CASA,0,9200,6.6,True
CASA,0,10000,6.8,True
CASA,0,12800,8.8,True
