algorithm,za_deg,frequency_channels,runtime_min,approximate
WSClean,10,1,4.0,True
WSClean,10,2,6.2,True
WSClean,10,4,10.8,True
WSClean,10,8,21.0,True
WSClean,10,16,40.0,True
WSClean,10,24,58.0,True
WSClean,10,48,115.0,True
WSClean,10,92,230.0,True
WSClean,0,1,1.4,True
WSClean,0,2,1.8,True
WSClean,0,4,2.0,True
WSClean,0,8,2.6,True
WSClean,0,16,3.8,True
WSClean,0,24,5.2,True
WSClean,0,48,9.5,True
WSClean,0,92,16.0,True
R+WSClean,10,1,4.5,True
R+WSClean,10,2,6.0,True
R+WSClean,10,4,8.7,True
R+WSClean,10,8,13.5,True
R+WSClean,10,16,25.0,True
R+WSClean,10,24,38.0,True
R+WSClean,10,48,68.0,True
R+WSClean,10,92,125.0,True
R+WSClean,0,1,3.8,True
R+WSClean,0,2,4.8,True
R+WSClean,0,4,4.3,True
R+WSClean,0,8,5.0,True
R+WSClean,0,16,6.0,True
R+WSClean,0,24,7.2,True
R+WSClean,0,48,11.5,True
R+WSClean,0,92,18.5,True
CASA,10,1,30.0,True
CASA,10,2,29.5,True
CASA,10,4,30.0,True
CASA,0,1,3.7,True
CASA,0,2,5.2,True
CASA,0,4,5.1,True
CASA,0,8,6.2,True
CASA,0,16,7.8,True
CASA,0,24,11.0,True
CASA,0,48,12.0,True
CASA,0,92,28.0,True
