algorithm,za_deg,fov_deg,runtime_min,approximate
WSClean,10,5,2.2,True
WSClean,10,10,1.8,True
WSClean,10,20,1.7,True
WSClean,10,37,3.8,True
WSClean,10,58,6.8,True
WSClean,10,80,14.5,True
WSClean,10,110,25.0,True
WSClean,10,150,25.2,True
WSClean,10,180,25.3,True
WSClean,0,5,1.8,True
WSClean,0,10,1.7,True
WSClean,0,20,1.6,True
WSClean,0,37,1.4,True
WSClean,0,58,1.38,True
WSClean,0,80,1.45,True
WSClean,0,110,1.9,True
WSClean,0,150,1.8,True
WSClean,0,180,1.75,True
R+WSClean,10,5,4.4,True
R+WSClean,10,10,4.4,True
R+WSClean,10,20,4.3,True
R+WSClean,10,58,4.3,True
R+WSClean,10,80,4.6,True
R+WSClean,10,110,4.6,True
R+WSClean,10,150,4.6,True
R+WSClean,10,180,4.6,True
CASA,10,5,3.6,True
CASA,10,10,4.4,True
CASA,10,20,6.8,True
CASA,10,37,30.0,True
CASA,0,5,3.6,True
CASA,0,20,3.6,True
CASA,0,37,3.7,True
CASA,0,58,4.8,True
CASA,0,80,5.4,True
CASA,0,110,8.5,True
CASA,0,150,18.0,True
CASA,0,180,42.0,True
